item,store_id,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2022/12,total_2023,total _2022,total_sales
A,20,0,10,8,30,0,0,0,0,0,10,15,0,5,30,0,10,0,0,0,0,0,48,154,202
A,21,14,0,0,0,25,0,0,0,0,0,10,0,0,15,0,0,15,0,0,0,0,39,70,109
A,22,10,0,0,19,0,0,0,0,0,0,14,0,8,0,5,0,0,5,0,0,0,29,40,69
A,23,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,11,32,43
A,24,0,12,0,5,0,0,2,0,10,0,3,0,10,0,6,0,0,10,0,3,10,29,15,44
A,25,0,20,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,5,50,42,92
A,26,10,30,30,30,40,0,0,10,30,0,20,0,20,20,55,0,0,20,0,20,0,180,15,195
A,27,0,0,0,0,15,0,0,6,18,0,0,0,0,10,0,0,0,0,0,10,10,39,155,194
A,28,30,40,45,305,0,0,0,0,0,0,0,0,60,60,80,300,0,0,25,45,30,420,30,450
A,29,10,0,10,20,0,7,0,20,0,0,20,0,10,30,0,0,0,0,0,0,0,67,600,667
A,30,0,0,0,30,0,0,0,0,0,0,0,7,10,10,50,0,0,0,0,0,0,30,60,90
A,31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,80
A,32,20,0,0,6,0,4,3,5,0,0,8,4,0,6,1,6,0,0,12,0,5,38,0,38
A,33,0,10,10,0,15,15,10,0,15,10,0,0,20,10,20,0,0,20,0,20,0,75,42,117
A,34,0,2,0,9,0,0,0,0,0,3,0,0,0,4,0,0,1,0,0,4,0,11,100,111
A,35,0,1,0,0,1,1,0,0,2,0,2,0,0,2,2,1,1,2,1,2,0,5,12,17
A,36,0,0,30,0,0,30,0,30,0,0,0,40,0,20,0,30,0,0,0,0,20,90,13,103
A,37,10,0,0,30,0,20,0,0,10,0,10,0,15,15,30,0,0,10,10,10,0,70,110,180
A,38,0,0,8,0,4,0,6,0,6,0,0,0,0,3,3,6,0,0,4,0,4,24,100,124
A,39,0,0,12,15,0,0,0,5,10,0,7,10,0,20,10,0,0,10,5,10,0,42,20,62
A,40,10,0,12,10,0,0,10,5,0,0,0,0,15,14,28,0,0,0,0,0,0,47,72,119
A,41,9,0,10,35,5,0,8,10,0,0,12,3,10,12,30,0,7,0,10,7,14,77,57,134
A,42,10,5,0,0,0,10,0,10,0,0,0,0,10,0,0,10,0,0,10,0,0,35,105,140
A,43,0,0,20,10,0,0,20,0,0,20,0,0,20,0,0,0,20,0,0,0,20,50,30,80
A,44,0,40,0,5,0,10,10,20,10,20,0,15,20,30,0,40,0,0,35,20,0,95,80,175
A,45,0,0,0,40,0,0,20,20,0,20,0,20,30,20,0,0,20,0,20,20,40,80,180,260
A,46,10,0,20,0,0,30,0,0,0,20,0,0,30,0,5,0,10,0,0,0,20,60,190,250
A,47,10,20,20,130,0,0,0,0,0,15,15,0,20,25,15,0,20,10,0,10,0,180,85,265
A,48,20,20,10,30,30,20,10,23,10,30,20,10,25,40,30,0,20,50,20,10,30,173,130,303
A,49,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,5,0,0,0,0,0,10,285,295
A,50,0,8,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,15,33
A,51,7,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0,11,3,14
A,52,0,40,0,340,0,0,0,0,0,30,10,20,60,10,210,0,0,0,0,0,0,380,9,389
A,53,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,340,350
A,54,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,3,2,5
A,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,10
A,56,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,14,1,15
A,57,0,20,80,150,0,0,0,0,0,30,10,26,60,20,60,60,0,0,20,40,0,250,16,266
A,58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,326,328
A,59,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,10
A,60,0,60,20,130,0,0,0,0,0,20,10,25,70,40,40,300,0,0,0,0,0,210,20,230
A,61,0,20,0,0,0,12,0,0,0,8,0,0,15,0,0,0,0,8,0,0,0,32,505,537
A,62,4,0,0,0,0,5,10,0,0,0,0,0,0,16,0,0,10,0,0,0,0,19,31,50
A,63,0,0,0,20,0,0,0,20,20,0,20,0,40,110,0,0,0,0,0,0,0,60,26,86
A,64,31,12,29,16,20,21,20,26,5,9,20,21,25,24,45,13,26,18,9,24,20,180,170,350
A,65,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,254,262
A,66,160,60,330,930,0,0,0,0,50,0,0,10,340,220,200,180,700,-200,40,160,110,1530,3,1533
A,67,0,0,3,5,0,0,0,0,0,0,0,5,0,3,0,0,0,2,0,0,0,8,1760,1768
A,68,3,0,0,4,0,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,7,10,17
A,69,0,20,20,0,30,0,40,20,60,30,0,0,70,0,40,20,0,90,0,0,0,190,9,199
A,70,10,40,0,150,0,0,0,0,0,10,20,0,40,20,50,40,0,0,0,0,10,200,250,450
A,71,0,8,0,15,0,0,3,0,0,0,4,6,10,0,4,0,0,0,0,5,10,26,190,216
A,72,0,20,15,17,0,30,0,20,20,0,0,5,30,0,25,0,0,20,15,0,35,122,39,161
A,73,0,0,0,0,0,0,8,12,0,0,0,0,10,0,16,0,0,10,0,12,0,20,130,150
A,74,1,0,2,0,0,2,0,2,0,0,0,0,8,0,0,2,1,0,1,2,0,7,48,55
A,75,0,10,0,20,17,0,0,0,10,6,10,0,20,0,20,0,17,10,0,11,9,57,14,71
A,76,10,0,10,20,0,0,20,0,20,0,0,10,10,20,20,0,0,0,20,0,0,80,103,183
A,77,0,10,0,25,15,0,0,0,5,0,0,7,15,0,0,0,0,0,0,10,20,55,80,135
A,78,0,0,0,0,0,0,5,0,0,3,2,0,2,4,0,0,0,7,0,5,0,5,52,57
A,79,22,0,0,4,30,0,0,0,32,0,0,21,32,0,0,0,0,42,0,0,10,88,23,111
A,80,10,20,0,0,0,10,0,0,0,10,0,0,10,30,0,0,10,10,0,0,10,40,105,145
A,81,20,20,0,40,0,20,0,10,20,0,10,0,30,0,40,0,0,0,20,0,10,130,80,210
A,82,0,0,16,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,16,110,126
A,83,0,15,0,20,0,10,0,0,10,10,0,0,10,25,13,0,0,0,5,10,0,55,11,66
A,84,0,10,10,0,10,0,20,0,0,0,0,0,40,0,0,0,0,20,0,0,10,50,73,123
A,85,0,8,0,0,15,0,5,10,5,0,5,0,15,0,8,0,0,6,0,10,0,43,70,113
A,86,0,0,0,0,0,0,0,0,0,0,0,0,110,60,180,0,0,0,10,10,90,0,44,44
A,87,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,0,5,0,0,0,0,5,460,465
A,88,0,25,5,0,10,0,0,20,0,0,10,10,20,0,10,0,0,10,0,10,0,60,18,78
A,89,350,800,600,1000,0,0,0,0,0,470,150,230,760,450,640,700,0,0,170,290,320,2750,70,2820
A,90,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,16,4180,4196
A,91,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,31
A,92,2,0,11,10,0,0,0,0,0,0,0,0,6,0,13,0,0,0,10,0,0,23,0,23
A,93,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,29,65
A,94,0,0,12,0,17,0,0,8,0,0,10,15,0,0,13,0,15,0,0,15,0,37,20,57
A,95,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,68,70
A,96,0,0,30,0,20,0,0,20,0,0,10,0,20,10,20,0,20,10,0,0,10,70,0,70
A,97,0,0,20,0,0,0,0,20,0,0,0,0,10,0,40,0,0,0,0,0,0,40,100,140
A,98,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50,70
A,99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
A,100,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,101,1,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,4,0,0,0,1,0,1
A,102,20,0,0,40,0,0,30,0,0,10,10,0,10,10,40,0,0,30,0,0,0,90,12,102
A,103,0,0,20,30,0,0,0,0,0,0,20,0,10,10,20,0,0,20,10,0,10,50,110,160
A,104,12,10,0,60,0,0,0,0,0,0,7,0,15,0,27,0,0,0,7,0,0,82,100,182
A,105,4,0,0,6,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,14,56,70
A,106,5,5,0,10,10,0,6,0,4,0,0,3,3,0,0,5,7,0,5,0,6,40,4,44
A,107,0,0,15,15,0,0,4,0,6,7,11,0,0,0,0,0,0,14,0,6,0,40,29,69
A,108,0,0,3,0,0,0,0,0,4,0,0,0,5,4,0,5,0,0,0,5,0,7,38,45
A,109,0,25,20,0,0,0,0,0,0,0,0,0,28,12,13,0,0,0,0,0,0,45,19,64
A,110,0,10,0,0,0,10,8,0,0,10,0,10,10,0,17,0,0,0,0,14,15,28,53,81
A,111,10,10,10,20,13,0,10,0,5,10,0,50,20,5,0,10,15,5,0,35,20,78,76,154
A,112,10,18,0,0,14,5,0,12,0,6,2,11,43,43,0,0,0,10,0,10,0,59,170,229
A,113,2,0,4,0,11,0,0,6,0,0,0,0,20,0,0,0,1,0,0,5,0,23,125,148
A,114,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,36
A,115,0,20,0,26,0,0,0,15,8,15,0,10,35,0,38,2,0,0,10,8,20,69,0,69
A,116,0,10,0,0,0,0,0,10,0,10,0,0,20,0,20,0,0,0,20,0,0,20,138,158
A,117,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,70,77
A,118,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,4
A,119,7,20,0,0,0,10,0,5,0,0,0,0,0,8,0,0,0,3,0,0,0,42,16,58
A,120,0,0,300,500,0,0,0,0,0,30,0,40,300,200,300,0,0,0,0,0,0,800,11,811
A,121,0,0,0,30,0,0,0,5,0,10,0,0,0,0,30,0,0,0,0,10,0,35,870,905
A,122,0,0,10,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,10,50,60
A,123,0,0,8,0,0,0,0,0,0,0,3,0,15,0,0,0,0,4,0,0,4,8,16,24
A,124,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,57
A,125,20,0,25,0,0,10,0,0,0,0,0,0,20,10,0,10,0,15,0,0,0,55,0,55
A,126,1,0,6,0,0,0,4,0,0,7,0,0,2,0,2,0,1,8,0,0,5,11,55,66
A,127,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,1,0,0,0,0,5,25,30
A,128,60,20,70,60,30,60,30,50,50,30,40,70,70,50,80,40,30,80,10,40,50,430,3,433
A,129,30,30,20,40,30,0,20,0,30,20,20,30,60,30,40,0,20,30,10,30,10,200,590,790
A,130,80,50,100,40,150,20,50,100,50,100,0,40,150,30,100,100,20,100,50,80,40,640,300,940
A,131,0,0,48,10,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,62,810,872
A,132,0,0,0,7,4,0,0,0,10,0,0,0,12,0,8,0,0,0,5,0,0,21,10,31
A,133,10,10,10,0,10,0,20,0,0,10,0,10,10,10,20,10,10,20,0,10,10,60,25,85
A,134,0,10,0,20,20,10,20,10,10,0,10,10,10,10,40,0,0,10,20,0,10,100,120,220
A,135,4,5,6,6,10,2,3,5,8,5,8,7,5,11,7,2,7,2,8,6,2,49,120,169
A,136,0,40,80,100,0,0,0,0,0,0,0,20,50,50,110,0,0,0,0,0,0,220,70,290
A,137,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,230,240
A,138,0,0,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18
A,139,6,21,0,16,10,16,7,9,20,0,9,1,12,14,40,0,0,3,12,6,7,105,0,105
A,140,10,30,40,80,0,50,30,0,30,60,0,20,50,100,100,0,0,0,30,30,30,270,104,374
A,141,5,10,20,0,0,0,10,0,10,0,0,4,25,0,10,0,0,0,13,0,15,55,420,475
A,142,3,0,0,6,0,0,0,0,0,0,10,0,10,0,0,10,0,5,8,0,29,9,67,76
A,143,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,72,75
A,144,10,90,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,10,10,0,100,0,100
A,145,0,20,0,0,20,0,0,20,10,10,0,0,20,22,0,0,10,0,10,0,15,70,80,150
A,146,0,12,0,25,0,0,0,0,6,5,6,0,6,14,0,0,13,12,-6,7,6,43,87,130
A,147,0,20,30,40,10,0,10,20,20,20,0,20,50,0,20,30,20,20,0,20,30,150,63,213
A,148,0,0,5,0,0,0,10,5,0,0,0,0,0,0,0,10,0,0,0,0,0,20,230,250
A,149,15,16,20,80,0,0,0,20,10,20,0,10,55,15,33,10,30,10,10,10,10,161,10,171
A,150,0,20,0,15,0,0,5,10,5,0,0,5,10,0,15,0,0,10,0,5,10,55,213,268
A,151,10,0,70,70,0,0,0,0,0,0,0,0,40,40,55,0,0,0,30,10,20,150,55,205
A,152,10,17,0,27,25,12,14,0,10,5,15,0,15,0,20,0,0,15,0,30,0,115,195,310
A,153,0,0,20,30,0,0,10,18,0,10,25,0,15,15,23,0,20,15,0,10,20,78,100,178
A,154,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,5,0,0,153,153
A,155,0,5,6,8,0,4,6,0,0,0,0,4,2,13,0,4,5,6,0,4,0,29,25,54
A,156,0,20,10,120,0,0,0,30,30,0,20,20,40,30,0,30,0,10,30,0,30,210,38,248
A,157,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,210,218
A,158,0,0,0,13,0,7,0,10,5,0,10,0,0,10,0,0,0,0,0,0,0,35,0,35
A,159,75,40,100,330,0,0,0,0,0,0,0,0,30,70,340,0,0,0,0,0,0,545,20,565
A,160,0,0,0,0,3,6,0,0,0,0,0,6,0,6,10,0,0,0,0,0,0,9,440,449
A,161,12,10,0,0,0,0,6,0,8,0,12,0,0,0,0,0,0,0,24,0,0,36,22,58
A,162,2,0,3,20,0,0,0,0,0,2,5,5,0,2,5,0,0,0,1,1,5,25,36,61
A,163,10,0,20,0,0,7,0,15,0,10,0,10,0,10,0,10,10,5,10,0,0,52,26,78
A,164,1,3,2,0,0,0,0,0,0,0,0,0,0,4,3,0,4,2,2,0,0,6,65,71
A,165,8,11,16,11,0,3,0,5,18,0,15,4,35,0,18,0,2,4,0,6,7,72,15,87
A,166,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,91,92
A,167,10,60,0,100,0,0,0,0,0,10,15,10,20,30,30,0,0,17,20,0,10,170,2,172
A,168,20,20,0,40,0,0,0,0,0,20,20,0,40,0,0,0,20,0,20,0,0,80,162,242
A,169,15,0,0,10,0,20,10,0,0,0,0,0,20,0,30,0,0,0,0,0,0,55,120,175
A,170,10,15,20,80,0,0,0,0,0,20,0,0,10,50,35,0,0,0,0,20,0,125,50,175
A,171,0,0,0,4,0,0,4,0,0,0,0,0,0,12,0,0,3,0,3,0,0,8,135,143
A,172,15,0,5,40,0,0,0,0,0,0,0,0,20,10,15,20,15,40,30,0,10,60,18,78
A,173,20,30,40,20,40,50,20,20,30,20,20,20,30,30,30,20,30,20,20,30,20,270,160,430
A,174,0,0,0,10,0,20,0,0,0,0,15,4,5,160,5,0,0,0,0,0,20,30,290,320
A,175,0,0,0,14,0,0,0,2,0,2,3,0,1,3,0,1,0,0,0,6,0,16,209,225
A,176,0,0,0,18,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,18,16,34
A,177,6,0,20,5,0,0,0,0,10,12,0,0,15,0,20,0,0,0,0,10,0,41,13,54
A,178,10,20,10,30,20,20,30,10,20,10,10,10,30,20,40,30,0,20,0,20,20,170,57,227
A,179,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,210,230
A,180,10,0,0,5,0,10,0,0,0,5,0,0,5,8,0,0,5,10,0,2,0,25,0,25
A,181,0,15,0,35,0,20,30,10,10,10,0,0,20,20,20,20,0,10,20,15,20,120,35,155
A,182,10,10,10,20,15,0,5,16,5,0,20,10,10,10,30,0,0,10,0,10,0,91,155,246
A,183,0,0,4,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,3,6,100,106
A,184,10,0,10,20,0,0,30,0,0,20,0,10,20,0,10,20,0,10,10,0,10,70,6,76
A,185,10,15,20,30,0,0,0,15,0,5,0,0,5,10,10,25,0,10,0,10,180,90,110,200
A,186,8,3,13,16,0,0,0,5,0,0,2,2,8,0,12,0,10,0,3,0,9,45,255,300
A,187,6,6,0,10,0,3,5,0,8,1,0,4,10,0,0,6,0,0,6,0,3,38,46,84
A,188,10,20,50,90,5,0,5,5,0,50,0,5,20,15,29,8,0,10,0,0,12,185,30,215
A,189,0,0,20,30,20,0,0,0,20,10,0,7,10,20,40,0,0,0,0,0,10,90,149,239
A,190,10,10,35,20,20,0,20,0,0,0,0,0,35,5,10,0,0,0,0,0,0,115,97,212
A,191,0,0,0,60,0,0,0,0,0,13,0,10,35,20,93,0,0,0,0,0,0,60,50,110
A,192,0,0,15,0,0,0,10,0,10,10,-2,0,10,0,4,0,0,10,0,10,5,35,171,206
A,193,0,3,0,10,0,10,0,0,10,10,0,0,0,5,0,5,4,0,5,10,0,33,47,80
A,194,9,0,10,2,10,0,6,2,5,5,2,0,6,10,5,0,9,-3,4,8,0,44,39,83
A,195,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,10,0,4,0,5,0,46,46
A,196,10,0,0,6,0,7,5,0,0,0,0,0,0,0,10,0,0,10,0,0,0,28,27,55
A,197,10,10,0,20,0,10,0,10,8,0,12,4,10,0,0,2,8,13,0,8,0,68,20,88
A,198,25,20,40,60,0,30,30,25,5,15,21,16,35,35,10,24,27,18,28,25,20,235,57,292
A,199,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,15,274,289
A,200,1,0,0,3,3,0,0,4,2,0,0,0,2,0,0,2,0,0,2,0,3,13,15,28
A,201,0,20,0,45,0,10,10,10,0,10,0,10,20,20,30,20,0,0,0,20,0,95,9,104
A,202,10,0,10,0,0,0,0,0,20,20,0,0,0,0,0,10,0,0,0,0,0,40,130,170
A,203,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,11,0,0,18,7,0,12,30,42
A,204,10,15,25,4,15,26,7,12,16,0,12,3,24,4,20,5,6,18,6,15,10,130,42,172
A,205,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,2,9,0,0,0,0,1,123,124
A,206,5,50,100,150,0,0,0,0,0,10,20,17,60,30,80,0,0,0,0,10,10,305,18,323
A,207,10,30,0,67,17,30,12,30,10,0,10,10,10,55,20,70,20,20,0,10,10,206,237,443
A,208,6,0,20,30,0,0,0,0,0,0,5,0,10,33,26,0,0,5,0,0,12,56,235,291
A,209,0,29,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,5,0,3,0,29,91,120
A,210,0,0,20,50,0,0,0,0,0,0,0,0,10,10,20,0,0,0,15,0,30,70,19,89
A,211,10,0,0,10,0,0,5,0,0,0,10,0,0,0,0,0,0,10,0,10,0,25,85,110
A,212,10,0,20,25,0,30,0,0,26,10,20,10,51,0,40,11,10,10,16,10,7,111,30,141
A,213,0,0,0,0,0,0,2,0,2,0,0,0,0,5,0,4,0,3,0,10,0,4,195,199
A,214,20,20,10,30,10,30,20,10,20,20,10,10,50,10,30,20,10,20,10,20,20,170,22,192
A,215,30,60,58,70,13,120,5,10,20,14,15,10,19,12,76,14,5,13,14,30,32,386,230,616
A,216,10,30,0,0,0,0,0,10,0,0,20,0,20,0,10,0,10,0,0,0,10,50,254,304
A,217,0,0,0,0,0,0,0,0,0,15,11,14,25,15,20,13,30,6,11,2,28,0,70,70
A,218,2,0,3,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,11,190,201
A,219,0,6,0,0,14,0,0,4,0,6,0,6,0,10,0,6,0,10,0,10,0,24,5,29
A,220,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48,73
A,221,0,0,0,6,0,3,0,0,0,0,4,0,6,0,0,0,0,0,0,0,4,9,0,9
A,222,0,12,0,0,0,0,0,4,0,13,0,0,8,0,0,0,0,0,0,3,0,16,14,30
A,223,10,10,20,30,0,12,11,10,10,19,0,19,24,25,15,8,18,25,5,15,15,113,24,137
A,224,2,43,70,122,2,6,30,44,5,16,42,55,4,55,4,40,35,34,4,43,36,324,188,512
A,225,20,30,120,500,0,0,0,0,0,0,0,0,280,0,0,650,0,0,0,0,0,670,368,1038
A,226,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,930,932
A,227,8,13,10,17,15,8,8,10,9,15,4,5,8,15,22,7,10,0,12,10,5,98,2,100
A,228,0,11,0,10,0,0,0,0,0,0,7,0,14,0,10,0,0,0,5,0,4,21,113,134
A,229,0,13,0,15,0,0,6,0,0,5,7,0,15,13,20,0,0,5,0,10,0,34,40,74
A,230,12,0,8,17,0,0,10,0,6,0,10,0,10,0,13,0,0,7,0,0,6,53,75,128
A,231,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,10,46,56
A,232,50,25,30,110,0,50,0,40,50,20,0,50,40,40,45,50,0,50,40,25,35,355,30,385
A,233,0,30,0,30,0,0,12,0,0,0,10,0,20,0,20,0,0,15,0,0,10,72,395,467
A,234,0,0,3,0,2,2,0,3,0,4,0,2,0,0,0,2,0,0,0,0,0,10,75,85
A,235,0,0,5,1,10,0,0,0,0,3,0,0,2,4,4,0,0,5,0,0,0,16,8,24
A,236,3,0,1,3,0,1,2,3,0,0,0,0,0,0,0,0,2,0,0,2,0,13,18,31
A,237,0,10,0,15,0,0,0,0,0,0,0,0,7,0,18,25,0,0,0,0,0,25,4,29
A,238,0,15,0,15,7,0,0,0,0,0,0,3,16,0,14,0,0,0,0,0,0,37,50,87
A,239,0,0,0,0,3,5,2,0,0,0,0,1,4,2,0,0,2,3,0,0,0,10,33,43
A,240,10,10,0,20,0,0,0,0,20,20,0,0,20,0,10,0,0,20,0,0,0,60,12,72
A,241,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,70,70
A,242,17,20,10,30,0,10,8,9,4,4,8,9,30,20,10,0,15,20,6,10,4,108,4,112
A,243,0,3,0,8,0,4,7,0,5,0,2,2,0,4,0,4,4,6,4,0,3,27,136,163
A,244,0,0,20,15,0,0,0,0,0,0,0,20,15,0,15,0,0,15,0,10,0,35,29,64
A,245,0,20,0,30,0,0,30,0,0,0,0,0,30,30,20,0,20,20,0,0,0,80,75,155
A,246,0,0,0,0,20,0,0,0,0,0,12,0,13,0,0,10,0,0,15,0,0,20,120,140
A,247,20,0,10,20,20,20,0,20,10,0,10,10,30,30,0,0,20,10,20,10,0,120,50,170
A,248,8,18,35,30,9,0,18,22,13,17,11,16,25,15,20,10,10,14,16,10,16,153,140,293
A,249,7,0,28,0,0,4,3,7,4,11,0,0,21,10,20,0,0,3,12,10,8,53,180,233
A,250,0,0,15,13,0,0,0,0,0,0,0,10,26,0,0,0,0,0,0,7,2,28,95,123
A,251,0,0,40,40,10,0,20,40,0,0,20,20,20,160,0,0,0,0,0,20,80,150,45,195
A,252,0,0,18,40,0,0,0,0,0,0,0,5,15,0,35,0,0,0,0,0,0,58,320,378
A,253,0,5,0,10,20,0,0,0,4,15,0,10,0,10,0,15,0,15,0,17,10,39,55,94
A,254,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,92,104
A,255,0,0,0,2,0,4,2,1,3,0,0,0,10,0,0,0,0,0,0,0,0,12,0,12
A,256,10,10,30,30,0,20,20,30,0,10,10,10,45,8,20,0,20,10,25,10,25,150,10,160
A,257,0,5,3,0,0,3,0,0,0,0,0,3,6,0,3,0,0,0,4,0,0,11,193,204
A,258,0,20,0,30,0,0,0,0,0,0,0,5,30,0,0,0,0,0,6,3,12,50,16,66
A,259,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,56,56
A,260,0,10,0,20,20,0,0,0,0,20,0,10,10,20,20,0,0,20,0,20,10,50,2,52
A,261,5,10,0,20,0,0,0,10,0,15,0,10,0,0,15,0,0,0,10,5,0,45,130,175
A,262,0,0,6,0,0,7,0,7,0,6,0,0,0,0,4,1,0,0,0,0,4,20,55,75
A,263,13,15,8,12,20,32,7,3,4,20,10,5,30,10,40,5,15,22,5,13,15,114,15,129
A,264,0,1,13,10,3,3,2,7,5,3,5,6,20,4,4,2,10,0,1,0,13,44,190,234
